page	tags	groups	imageBacked	invisibleText	validates	applies	pageReason	rejectedGroups	groupReasons	taggedLines	lines
388	21	6	true	false	true	partial	Do@L215	0	-	0	18
389	45	15	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	42	43
390	47	8	false	false	true	partial	-	3	mcidNotShownOnPage=3,unknownOrigin=3	20	38
391	27	5	false	false	true	partial	Do@L215	0	-	0	23
392	62	13	false	false	true	partial	Do@L215	0	-	0	43
393	59	9	false	false	true	partial	Do@L215	0	-	0	50
394	57	10	false	false	true	partial	Do@L215	0	-	0	51
395	84	12	false	false	true	partial	Do@L215	0	-	0	77
396	71	10	false	false	true	partial	Do@L215	0	-	0	65
397	37	11	false	false	true	partial	Do@L215	0	-	0	30
398	73	19	false	false	true	partial	Do@L215	0	-	0	68
399	98	14	false	false	true	all	-	0	-	98	99
400	25	6	false	false	true	partial	Do@L215	0	-	0	23
401	54	9	false	false	true	partial	Do@L215	0	-	0	63
402	56	12	false	false	true	partial	Do@L215	0	-	0	54
403	33	10	false	false	true	partial	Do@L215	0	-	0	30
404	84	19	false	false	true	partial	Do@L215	0	-	0	78
405	96	18	false	false	true	partial	-	6	mcidNotShownOnPage=1,noLineAtOrigin=5,unknownOrigin=1	81	95
406	3	1	false	false	true	partial	Do@L215	0	-	0	2
407	43	9	false	false	true	partial	Do@L215	0	-	0	39
408	46	11	false	false	true	partial	Do@L215	0	-	0	45
409	73	16	false	false	true	partial	Do@L215	0	-	0	77
410	90	30	false	false	true	partial	-	10	noLineAtOrigin=9,unknownOrigin=1	84	97
411	57	11	false	false	true	partial	Do@L215	0	-	0	49
412	49	8	false	false	true	partial	Do@L215	0	-	0	40
413	88	17	false	false	true	partial	Do@L215	0	-	0	92
414	91	23	false	false	true	partial	Do@L215	0	-	0	92
415	83	14	false	false	true	partial	Do@L215	0	-	0	76
416	97	24	false	false	true	partial	-	4	noLineAtOrigin=3,unknownOrigin=2	87	92
417	64	11	false	false	true	partial	Do@L215	0	-	0	59
418	69	12	false	false	true	partial	Do@L215	0	-	0	66
419	82	12	false	false	true	partial	-	1	noLineAtOrigin=1	78	79
420	93	13	false	false	true	partial	-	1	noLineAtOrigin=1	92	93
421	96	13	false	false	true	all	-	0	-	96	97
422	18	4	false	false	true	all	-	0	-	18	19
423	10	5	true	false	true	partial	Do@L215	0	-	0	9
424	97	24	false	false	true	partial	-	1	unknownOrigin=1	93	95
425	103	19	false	false	true	all	-	0	-	99	100
426	86	24	false	false	true	partial	Do@L215	0	-	0	95
427	84	17	false	false	true	partial	Do@L215	0	-	0	87
428	68	12	false	false	true	partial	Do@L215	0	-	0	63
429	65	12	false	false	true	partial	Do@L215	0	-	0	58
430	59	15	false	false	true	partial	Do@L215	0	-	0	57
431	93	25	false	false	true	all	-	0	-	93	94
432	95	25	false	false	true	partial	-	4	mcidNotShownOnPage=2,unknownOrigin=4	71	92
433	16	6	false	false	true	partial	Do@L215	0	-	0	15
434	96	14	false	false	true	partial	-	1	unknownOrigin=1	95	97
435	93	23	false	false	true	partial	-	2	unknownOrigin=2	93	103
436	92	23	false	false	true	partial	-	3	unknownOrigin=3	86	105
437	70	8	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	49	68
438	92	13	false	false	true	partial	-	8	mcidNotShownOnPage=8,noLineAtOrigin=1,unknownOrigin=1	17	99
439	19	3	false	false	true	partial	-	2	mcidNotShownOnPage=2,unknownOrigin=1	1	21
440	95	23	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	87	95
441	33	7	false	false	true	partial	Do@L215	0	-	0	30
442	41	9	false	false	true	partial	Do@L215	0	-	0	36
443	61	14	false	false	true	partial	Do@L215	0	-	0	53
444	67	14	false	false	true	partial	Do@L215	0	-	0	62
445	54	11	false	false	true	partial	Do@L215	0	-	0	49
446	59	15	false	false	true	partial	Do@L215	0	-	0	61
447	84	20	false	false	true	partial	Do@L215	0	-	0	83
448	72	18	false	false	true	notAttempted(pageImage)	-	0	-	0	70
449	67	14	false	false	true	all	-	0	-	64	65
450	48	8	false	false	true	all	-	0	-	38	39
451	16	3	false	false	true	all	-	0	-	16	17
453	5	4	false	false	true	partial	Do@L215	0	-	0	5
454	2	2	false	false	true	partial	Do@L215	0	-	0	2
455	1	1	false	false	true	partial	Do@L215	0	-	0	2
456	1	1	false	false	true	partial	Do@L215	0	-	0	2
457	1	1	false	false	true	partial	Do@L215	0	-	0	48
458	1	1	false	false	true	partial	Do@L215	0	-	0	56
459	1	1	false	false	true	partial	Do@L215	0	-	0	60
461	165	82	false	false	true	partial	Do@L215	0	-	0	87
462	212	103	false	false	true	partial	-	81	mcidNotShownOnPage=80,noLineAtOrigin=1,unknownOrigin=80	24	105
463	204	99	false	false	true	partial	-	88	mcidNotShownOnPage=87,noLineAtOrigin=1,unknownOrigin=87	13	104
464	202	100	false	false	true	partial	-	87	mcidNotShownOnPage=85,noLineAtOrigin=2,unknownOrigin=85	17	105
465	204	102	false	false	true	partial	-	95	mcidNotShownOnPage=94,noLineAtOrigin=1,unknownOrigin=94	9	105
466	196	100	false	false	true	partial	-	96	mcidNotShownOnPage=92,noLineAtOrigin=4,unknownOrigin=92	4	101
467	203	98	false	false	true	partial	-	91	mcidNotShownOnPage=90,noLineAtOrigin=1,unknownOrigin=90	10	105
468	202	101	false	false	true	partial	-	83	mcidNotShownOnPage=80,noLineAtOrigin=3,unknownOrigin=80	21	105
